id,address_id,confidence,match_type
none-withers-street-unit-2a-brooklyn-ny-11211,195,1.0,fuzzy
none-465-humboldt-street-none-williamsburg-ny-11211,26439,1.0,exact
none-30-bushwick-avenue-unit-1a-brooklyn-ny-11211,128,1.0,fuzzy
none-251-253-north-8th-street-none-brooklyn-ny-11211,94,1.0,fuzzy
none-30-bushwick-avenue-unit-4d-brooklyn-ny-11211,128,1.0,fuzzy
none-242-south-1st-street-unit-4e-brooklyn-ny-11211,853,1.0,exact
none-manhattan-avenue-unit-4r-brooklyn-ny-11211,152,1.0,fuzzy
none-277-south-2nd-street-none-brooklyn-ny-11211,28,1.0,fuzzy
none-764-metropolitan-avenue-unit-2b-brooklyn-ny-11211,29480,1.0,exact
none-13-conselyea-street-none-brooklyn-ny-11211,35,1.0,fuzzy
none-withers-street-unit-2-brooklyn-ny-11211,195,1.0,fuzzy
none-323-south-5th-street-unit-2-brooklyn-ny-11211,3189,1.0,exact
rplu-10325230448-174-north-6th-street-none-brooklyn-ny-11211,41,1.0,fuzzy
none-skillman-avenue-unit-4f-brooklyn-ny-11211,78,1.0,fuzzy
none-bushwick-avenue-unit-8b-brooklyn-ny-11211,128,1.0,fuzzy
none-364-manhattan-avenue-unit-4g-brooklyn-ny-11211,7666,1.0,exact
none-323-south-5th-street-unit-1-brooklyn-ny-11211,3189,1.0,exact
none-679-lorimer-street-none-brooklyn-ny-11211,7705,1.0,exact
none-skillman-avenue-unit-3-brooklyn-ny-11211,78,1.0,fuzzy
none-metropolitan-avenue-unit-5h-brooklyn-ny-11211,38,1.0,fuzzy
none-211-jackson-street-unit-garden-brooklyn-ny-11211,14387,1.0,exact
none-bayard-street-unit-3g-brooklyn-ny-11211,161,1.0,fuzzy
none-30-bushwick-avenue-unit-7a-brooklyn-ny-11211,128,1.0,fuzzy
none-76-roebling-street-unit-4b-brooklyn-ny-11211,1468,1.0,exact
none-south-5th-street-unit-3-brooklyn-ny-11211,16,1.0,fuzzy
none-30-bayard-street-unit-1a-brooklyn-ny-11211,3242,1.0,exact
none-north-11th-street-unit-1l-brooklyn-ny-11211,222,1.0,fuzzy
none-manhattan-avenue-unit-2r-brooklyn-ny-11211,152,1.0,fuzzy
none-165-north-10th-street-unit-3a-brooklyn-ny-11211,3899,1.0,exact
none-171-north-1st-street-unit-3a-brooklyn-ny-11211,45,1.0,exact
none-139-skillman-avenue-unit-9b-brooklyn-ny-11211,82,1.0,exact
none-manhattan-avenue-unit-3r-brooklyn-ny-11211,152,1.0,fuzzy
